id,code,name,reconcile,user_type_id/id,chart_template_id/id
account_1122,1122,应收账款,TRUE,account.data_account_type_receivable,l10n_chart_china_latest
account_2202,2202,应付账款,TRUE,account.data_account_type_payable,l10n_chart_china_latest
account_6401,6401,主营业务成本,FALSE,account.data_account_type_expenses,l10n_chart_china_latest
account_6001,6001,主营业务收入,FALSE,account.data_account_type_revenue,l10n_chart_china_latest
account_6061,6061,汇兑损益,FALSE,account.data_account_type_revenue,l10n_chart_china_latest
account_1124,1124,应收账款 (PoS),TRUE,account.data_account_type_receivable,l10n_chart_china_latest



